,H3_cban_hc8_gallezot,GABAa-bz_flumazenil_hc16_norgaard,CB1_FMPEPd2_hc22_laurikainen,CB1_omar_hc77_normandin,VAChT_feobv_hc18_aghourian_sum,5HT2a_alt_hc19_savli,5HTT_dasb_hc100_beliveau,D2_raclopride_hc7_alakurtti,5HT2a_mdl_hc3_talbot,5HT2a_cimbi_hc29_beliveau,5HT4_sb20_hc59_beliveau,DAT_fepe2i_hc6_sasaki,VAChT_feobv_hc4_tuominen,MU_carfentanil_hc204_kantonen,NAT_MRB_hc77_ding,D2_flb457_hc37_smith,A4B2_flubatine_hc30_hillmer,GABAa_flumazenil_hc6_dukart,NMDA_ge179_hc29_galovic,D2_fallypride_hc49_jaworska,5HTT_dasb_hc30_savli,5HT1a_cumi_hc8_beliveau,5HT1b_p943_hc22_savli,VAChT_feobv_hc5_bedard_sum,5HT1a_way_hc36_savli,mGluR5_abp_hc22_rosaneto,mGluR5_abp_hc28_dubois,mGluR5_abp_hc73_smart,D1_SCH23390_hc13_kaller,MU_carfentanil_hc39_turtonen,DAT_fpcit_hc174_dukart_spect,NAT_MRB_hc10_hesse,5HT1b_az_hc36_beliveau,5HT1b_p943_hc65_gallezot,M1_lsn_hc24_naganawa,D2_flb457_hc55_sandiego,5HT6_gsk_hc30_radhakrishnan
Rectus_L,0.4777416821918385,0.8633580337328454,0.9465612288033646,0.8551808069951767,0.2267574980817085,0.9235994367378356,0.1788573857391784,0.2821686479747153,0.8357089505064459,1.0,0.2155332461181386,0.0450564295704514,0.2452145571631451,0.6512890368061229,-0.072562200593237,0.1648941462782906,0.4530447149691138,0.9299094244906372,0.799516767421388,0.0903309005467877,0.2115399870791922,0.6730771738429017,0.7807729708251947,0.2478918714328904,0.719957654833402,0.9139489394548472,0.9220259859862046,0.8267051868985046,0.3531350364428268,0.8668792690355899,0.4152333105972775,0.1600250937338785,0.3733380355174589,0.5675785181294533,0.6512357173114337,0.1368328277079251,0.3837072818122605
Rectus_R,0.4762465081520309,0.6477180331694912,0.872232871145043,0.811986969358953,0.2681918875889416,0.9294630954103216,0.2356607426930043,0.3174089353479887,0.5731946563415159,0.7128205847641255,0.1716363274678655,0.2174550796999995,0.3027339257381662,0.608853175925529,0.0105005702883925,0.2889454633111808,0.4656327863591874,0.8906059621103646,0.8298614290190631,0.1782942779305251,0.3409940606146304,0.6312567086865001,0.7440302287824901,0.2926084033691021,0.7157621008139959,0.892281887944879,0.9409580321474066,0.8687813182622457,0.2995967305810906,0.7843727533006765,0.4615561230353047,0.3327786447408076,0.3237224125968183,0.5089173729536484,0.598052728027817,0.2120850301042079,0.5440835044736352
Insula_L,0.5080801204121802,0.5256212287962528,0.8744022803159828,0.8456089669206869,0.2495756118750531,0.9620142948380346,0.1978872768425121,0.3031022680996558,0.5789246030791887,0.6262751279134104,0.1438551897222582,0.0683717882646058,0.2754909979546607,0.6151174046928917,0.2434684408638899,0.16536440068368,0.4710717593817873,0.9556760819456565,0.8129952213497563,0.1199685130845219,0.3428064355936273,0.5526600196221592,0.7291993689405073,0.2601485348454531,0.7766433408830502,0.882746603634958,0.9955533766593656,1.0,0.3182145056854881,0.7813130833873146,0.4536485586429258,0.321085761488448,0.2719893077512743,0.6102464521568923,0.6943396844232308,0.1896859405594557,0.4976094559860357
Insula_R,0.5857242518972287,0.4719280596672588,0.8960532957099598,0.8588002097852413,0.2413041722387684,0.907504164879645,0.103314177428593,0.2979360269675188,0.6332819868055454,0.4767369169554548,0.1034089403488662,0.0216470172719146,0.2556839271993871,0.7074368629109085,0.0738027626578203,0.1167618207917199,0.4567899029464428,0.922861085851228,0.7259483887495664,0.0613148124038357,0.2953832541061463,0.3238756294365377,0.8368659393049062,0.229581437166615,0.6276305340469136,0.8919362959070175,1.0,0.9427705654308668,0.3065753158338312,0.8694475443349343,0.4043592721516839,0.238362255406482,0.2002120001635579,0.6078156157296656,0.5869210453921488,0.1296584910575998,0.4540494055757602
Cingulum_Ant_L,0.5295221615249402,0.6274240829901232,0.8274966881207882,0.823268222974083,0.2306560704525986,0.7665604156805674,0.1244897169025217,0.3004252345165369,0.5736679829062084,0.5608082796249431,0.1239713630129132,0.0345567096686953,0.2364650995720287,0.6506235166013966,0.1187958504689478,0.0960249879150708,0.4565882132377808,0.7968520313024716,0.7583426987575256,0.0542006369587875,0.2405779259972999,0.396758086283335,0.713422093485,0.2228467772006991,0.5279394382240253,0.8765501938512935,0.9000180462697365,0.8224253926717765,0.2675041268256072,0.8278450482831308,0.4067243185061999,0.2284928170207145,0.2540920739279285,0.5840089506664077,0.5201839861403933,0.116936615822091,0.4082307414111555
Cingulum_Ant_R,0.4893576262801688,0.5012526180880965,0.9070897212976112,0.8254794995381814,0.2648652238138031,0.8994714947387724,0.1190744234020829,0.3146919331883921,0.481974776858487,0.556638730359834,0.1171429648877078,0.0350550961183188,0.2616484273009327,0.5795654116955647,0.3624500930696086,0.1053649552440899,0.4956403993743056,0.8895418614848236,0.7674568474818627,0.0601570762704027,0.2598272489906746,0.3168349009179038,0.8641104212778463,0.2416163137760695,0.5634816970838973,0.9032518098745876,0.9671181391662816,0.978592024852932,0.2797493578676439,0.7224395861084052,0.3974134791123477,0.3305882688573752,0.2275505579947134,0.5625885298928892,0.6408711816461519,0.1006172949081408,0.4461832656614134
Cingulum_Mid_L,0.443544580925616,0.6001426493341354,0.8841856439685298,0.7734809532883187,0.2591569236285242,0.8428613983781125,0.1283719353199549,0.313870733856751,0.4293310770334944,0.620896090627134,0.129210013684452,0.0432392189170502,0.2479719549174521,0.5780467142046642,0.2683801495499082,0.0865640751278694,0.4846322089729626,0.8471269869637661,0.7823153181705021,0.0522591024141217,0.2546785891645188,0.3486705892409804,0.8320790323595956,0.237088015435069,0.5312708559068331,0.9054117306137792,0.9406919138903936,0.8644752673002012,0.2808886699487711,0.7177304958230617,0.3985031165867057,0.2792099176952666,0.2563564326586909,0.5364455607208952,0.5497368425704962,0.0872859732875444,0.3390037108845232
Cingulum_Mid_R,0.3294065910932878,0.6251268452365384,0.7410296786505077,0.6854405059253879,0.2026769564356585,0.8011700286426243,0.0924251977738577,0.3096997037700106,0.4373517743896653,0.5160939095689198,0.1045459160138197,0.0301287109352513,0.2028797888739314,0.2941298073247825,-0.2363713877003267,0.0439843578703341,0.4122313835096999,0.7391889158398082,0.712704654635817,0.0417889946943904,0.1981254571125921,0.215195674364885,0.6665877455953738,0.2107905692308148,0.4378881601977221,0.7865251788400449,0.8144440480544548,0.6877427906399027,0.2510264721429073,0.4241369035334312,0.3924271848748994,0.1771194503909632,0.1841168697946844,0.3664738910398653,0.4754276610883733,0.0572935074444975,0.3102150059599264
Cingulum_Post_L,0.2549459513509531,0.6184207571882991,0.6254447750634455,0.6093158094197415,0.1669090537774992,0.5449202498790682,0.0647461730416422,0.2975154066832252,0.3486959571977826,0.3644038899905342,0.0714683397908378,0.028719062176447,0.1801681809723888,0.1935150062951999,-0.4767144917533705,0.018854979808231,0.3881221840687815,0.5763371072825394,0.6367106339592724,0.0257778562300126,0.1330288581330167,0.1482500184730937,0.4133188190494312,0.1866659710071534,0.3112130276307021,0.6882018842730373,0.6839131634051192,0.4410927003580863,0.1827309799471367,0.3458699110620793,0.3885559087740787,0.0973892925609817,0.1273901130252903,0.2158148162348222,0.3113039054202828,0.0336767774121127,0.1353466507935189
Cingulum_Post_R,0.3189158904080752,0.6060104260768616,0.5149947037518335,0.755871465435791,0.2988597944826096,0.2159655734600183,0.2938754981786438,0.2908119166573867,0.2999258047844312,0.4306035629914627,0.2214246906880191,0.0437926668034383,0.324328439538195,0.3476656204846522,-0.2554062225395371,0.1167025020611696,0.4623829789009358,0.6314934777871628,0.8189290166524698,0.1086129689724433,0.2823568061672408,1.0,0.2247864670860627,0.3150548301684122,0.6195577854770128,0.6488168988725016,0.7278515755324693,0.5140597584620813,0.1988129667445164,0.4823891438536089,0.4871326377537361,0.1420958502970677,0.1729082876983961,0.2583175070162941,0.3657228003335615,0.1627919605400655,0.1420878372986218
